Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
18642,49,Electric Utility,35.1,33.4,30.2,Conventional Hydroelectric,3,1941, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,34.7,31.4,Conventional Hydroelectric,10,1948, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,34.6,31.3,Conventional Hydroelectric,2,1949, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,34.4,31.1,Conventional Hydroelectric,12,1949, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,34.5,31.2,Conventional Hydroelectric,3,1950, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,43.6,41.9,38.2,Conventional Hydroelectric,12,1962, , ,OP,34.806900,-87.381900
3265,51,Electric Utility,720.7,645.3,638.0,Conventional Steam Coal,4,1986, , ,OP,32.030556,-93.569170
189,53,Electric Utility,1.2,1.0,1.0,Conventional Hydroelectric,1,1926, , ,OP,31.403300,-86.479470
189,53,Electric Utility,1.8,1.8,1.8,Conventional Hydroelectric,2,1985, , ,OP,31.403300,-86.479470
5580,54,Electric Utility,149.0,110.0,140.0,Natural Gas Fired Combustion Turbine,3,1999, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,98.0,76.0,91.0,Natural Gas Fired Combustion Turbine,5,2010, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,149.0,105.0,140.0,Natural Gas Fired Combustion Turbine,1,1999, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,149.0,106.0,140.0,Natural Gas Fired Combustion Turbine,4,1999, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,108.0,71.0,92.0,Natural Gas Fired Combustion Turbine,11,2001, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,108.0,70.6,87.6,Natural Gas Fired Combustion Turbine,11,2001, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,98.0,69.0,88.0,Natural Gas Fired Combustion Turbine,1,2005, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,98.0,69.0,88.0,Natural Gas Fired Combustion Turbine,1,2005, , ,OP,37.883300,-84.101700
5580,54,Electric Utility,98.0,76.0,101.0,Natural Gas Fired Combustion Turbine,5,2010, , ,OP,37.883300,-84.101700
189,55,Electric Utility,1.6,1.8,1.8,Conventional Hydroelectric,1,1925, , ,OP,31.361146,-86.518310
189,55,Electric Utility,1.6,1.8,1.8,Conventional Hydroelectric,1,1925, , ,OP,31.361146,-86.518310
189,55,Electric Utility,2.0,1.8,1.8,Conventional Hydroelectric,1,1949, , ,OP,31.361146,-86.518310
40606,59,Electric Utility,109.8,100.0,100.0,Conventional Steam Coal,12,1982, , ,OP,40.854765,-98.348220
8245,60,Electric Utility,76.3,77.0,77.0,Conventional Steam Coal,7,1981, , ,OP,40.580872,-98.312440
8245,60,Electric Utility,248.0,232.0,232.0,Conventional Steam Coal,6,2011, , ,OP,40.580872,-98.312440
213,62,Electric Utility,1.8,1.8,1.8,Conventional Hydroelectric,12,1915, , ,OP,58.317600,-134.101000
213,62,Electric Utility,2.2,1.8,1.8,Conventional Hydroelectric,12,1915, , ,OP,58.317600,-134.101000
213,63,Electric Utility,0.8,0.8,0.8,Conventional Hydroelectric,9,1951, , ,OP,58.310700,-134.417400
213,63,Electric Utility,0.4,0.4,0.4,Conventional Hydroelectric,11,1914, , ,OP,58.310700,-134.417400
213,63,Electric Utility,0.4,0.4,0.4,Conventional Hydroelectric,11,1914, , ,OP,58.310700,-134.417400
213,63,Electric Utility,1.2,1.2,1.2,Petroleum Liquids,6,1952, , ,SB,58.310700,-134.417400
213,63,Electric Utility,1.2,1.2,1.2,Petroleum Liquids,8,1954, , ,SB,58.310700,-134.417400
213,63,Electric Utility,1.1,1.1,1.1,Petroleum Liquids,8,1961, , ,SB,58.310700,-134.417400
213,63,Electric Utility,3.5,3.5,3.5,Petroleum Liquids,9,1963, , ,SB,58.310700,-134.417400
213,63,Electric Utility,1.1,1.1,1.1,Petroleum Liquids,10,1966, , ,SB,58.310700,-134.417400
213,64,Electric Utility,2.5,2.5,2.5,Petroleum Liquids,8,1969, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.6,2.5,2.5,Petroleum Liquids,9,1969, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.6,2.5,2.5,Petroleum Liquids,9,1974, , ,SB,58.353600,-134.495300
213,64,Electric Utility,18.6,17.5,17.5,Petroleum Liquids,9,1980, , ,SB,58.353600,-134.495300
213,64,Electric Utility,18.6,17.5,17.5,Petroleum Liquids,8,1983, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,8,1983, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,9,1984, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,9,1984, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,9,1984, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,8,1985, , ,SB,58.353600,-134.495300
213,64,Electric Utility,2.8,2.5,2.5,Petroleum Liquids,8,1985, , ,SB,58.353600,-134.495300
