Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
19724,52048,Commercial CHP,7.2,7.8,8.7,Natural Gas Fired Combustion Turbine,8,2015, , ,OP,36.145896,-86.80383
4277,52049,IPP Non-CHP,0.7,0.7,0.7,Conventional Hydroelectric,4,1987, , ,OP,34.9953,-81.8344
4277,52049,IPP Non-CHP,0.5,0.5,0.5,Conventional Hydroelectric,8,1985, , ,OP,34.9953,-81.8344
57280,52054,IPP Non-CHP,3.4,3.2,3.1,Conventional Hydroelectric,8,1984, , ,OS,44.092689,-94.10882
57280,52054,IPP Non-CHP,3.4,3.2,3.1,Conventional Hydroelectric,8,1984, , ,OS,44.092689,-94.10882
60082,52057,IPP Non-CHP,0.4,0.4,0.4,Conventional Hydroelectric,12,1987, , ,OS,43.033577,-74.98339
60082,52057,IPP Non-CHP,0.4,0.4,0.4,Conventional Hydroelectric,12,1987, , ,OS,43.033577,-74.98339
60082,52057,IPP Non-CHP,0.4,0.4,0.4,Conventional Hydroelectric,12,1987, , ,OS,43.033577,-74.98339
60082,52057,IPP Non-CHP,0.4,0.1,0.1,Conventional Hydroelectric,12,1987, , ,OS,43.033577,-74.98339
57184,52058,IPP Non-CHP,0.7,0.2,0.2,Conventional Hydroelectric,12,1987, , ,OP,44.704089,-75.48705
57184,52058,IPP Non-CHP,0.7,0.2,0.1,Conventional Hydroelectric,12,1987, , ,OP,44.704089,-75.48705
57184,52058,IPP Non-CHP,0.7,0.2,0.1,Conventional Hydroelectric,12,1987, , ,OP,44.704089,-75.48705
57184,52058,IPP Non-CHP,0.7,0.2,0.1,Conventional Hydroelectric,12,1987, , ,OP,44.704089,-75.48705
57184,52058,IPP Non-CHP,0.7,0.2,0.1,Conventional Hydroelectric,12,1987, , ,OP,44.704089,-75.48705
65384,52061,Commercial CHP,4.2,2.4,2.4,Natural Gas Fired Combined Cycle,7,1988,12,2025,OP,41.7631,-72.6733
65384,52061,Commercial CHP,6.2,6.2,6.2,Natural Gas Fired Combined Cycle,7,1988,12,2027,OP,41.7631,-72.6733
65384,52061,Commercial CHP,1.4,1.4,1.4,Other Natural Gas,5,2014,6,2029,OP,41.7631,-72.6733
59409,52063,Industrial CHP,4,4,4,All Other,1,1978, , ,OP,38.0314,-122.1139
59409,52064,Industrial CHP,5,3.5,3.5,All Other,8,1976, , ,OP,33.8431,-118.2347
59409,52065,Industrial CHP,6,5.5,6.1,All Other,1,1977, , ,OP,29.71977,-95.27056
59409,52065,Industrial CHP,1.5,1.5,1.5,All Other,1,1970, , ,OP,29.71977,-95.27056
57280,52068,IPP Non-CHP,4.1,3.3,3.3,Conventional Hydroelectric,12,1985, , ,OP,40.915319,-74.18099
57280,52068,IPP Non-CHP,4.1,3.3,3.3,Conventional Hydroelectric,12,1985, , ,OA,40.915319,-74.18099
57280,52068,IPP Non-CHP,4.1,3.3,3.3,Conventional Hydroelectric,12,1985, , ,OP,40.915319,-74.18099
22218,52072,Industrial CHP,6,5.6,5.6,Natural Gas Steam Turbine,1,1990, , ,OP,37.180441,-80.54277
22218,52072,Industrial CHP,6,5.6,5.6,Natural Gas Steam Turbine,1,1990, , ,OP,37.180441,-80.54277
22218,52072,Industrial CHP,6,5.6,5.6,Natural Gas Steam Turbine,1,1990, , ,OP,37.180441,-80.54277
19524,52073,Commercial CHP,14.5,12.5,13.5,Natural Gas Fired Combined Cycle,10,1993, , ,OP,34.0692,-118.4439
19524,52073,Commercial CHP,14.5,12.5,13.5,Natural Gas Fired Combined Cycle,10,1993, , ,OP,34.0692,-118.4439
19524,52073,Commercial CHP,14,11,12,Natural Gas Fired Combined Cycle,10,1993, , ,OP,34.0692,-118.4439
54713,52076,Industrial CHP,6,4.8,5.5,Natural Gas Fired Combustion Turbine,6,2012, , ,OP,35.3161,-119.6597
54713,52076,Industrial CHP,6,4.8,5.5,Natural Gas Fired Combustion Turbine,6,2012, , ,OP,35.3161,-119.6597
